    
    VYCMA      07:22:59.20    -25:46:06.8     J2000

   J1751+0939       17:51:32.8185    09:39:00.728
    1830-211        18:33:39.908    -21:03:40.05   
    1921-293        19:24:51.0563   -29:14:30.117
    1934-638        19:39:25.026    -63:42:45.63
    1958-179        20:00:57.093    -17:48:57.73 
    20100           20:13:29.843    -41:47:34.77 
    2121+053        21:23:44.526     05:35:21.93 
    2131-021        21:34:10.320    -01:53:17.34 
    2145+067        21:48:05.461     06:57:38.48 
    2216-038        22:18:52.047    -03:35:36.98
    2251+158        22:53:57.759     16:08:53.39 
    2322-411        23:25:03.384    -40:51:30.03       2000.0
    2345-167        23:48:02.617    -16:31:12.14 

    GRO1655         16:54:00.20     -39:50:43.6   

    IRAS1746        17:49:32.633    -31:28:52.81
    VXSGR           18:08:04.083    -22:13:31.32
    G34.26          18:53:18.505     01:14:57.62 
    G35.20          19:01:44.948     01:13:37.41 
    G45.47          19:14:07.369     11:12:19.62 

    MONR2           06:07:50.30     -06:22:47.0
    LMCMASER        05:01:01.889    -68:10:28.30
    G309.92         13:50:41.76     -61:35:10.1 
    G318.95         15:00:55.40     -58:58:53.0 
    G323.74         15:31:45.46     -56:30:50.2 
    G329+0.6        15:55:48.49     -52:43:05.9        2000.0
    G331.28         16:11:26.60     -51:41:56.6 
    G337.71         16:38:29.61     -47:00:35.7 
    G337.71a        16:38:29.11     -47:00:43.3 
    G339.88         16:52:04.66     -46:08:34.2 
    G345.01         16:56:47.56     -40:14:26.2 
    G345.01a        16:56:46.80     -40:14:09.9
    G345-0.2        17:05:11.274998 -41:29:06.1447     2000.0
    G351.42         17:20:53.50     -35:47:01.7 
    G351.44         17:20:54.67     -35:45:08.5 
    G285.26         10:31:29.88     -58:02:18.5
;V076
    CIRCINUS        14:13:09.710    -65:20:21.68
    NGC4945         13:05:27.602    -49:28:05.67
    SGRA            17:45:40.031    -29:00:27.79
;Tid-Hobart (ATCA posn c/o JEJL)
    CA0244-470        02:46:00.085    -46:51:17.35  
    CA0252-549        02:53:29.172    -54:41:51.32
    CA0437-454        04:39:00.849    -45:22:23.090
    CA0450-469        04:51:53.336    -46:53:20.530
    CA0506-612        05:06:43.984    -61:09:40.960
    CA0522-611        05:22:34.317    -61:07:56.73
    CA0525-574        05:25:58.573    -57:25:07.957
    CA0630-261        06:32:06.500    -26:14:13.879
    CA0642-349        06:44:25.282    -34:59:41.84
    CA0646-306        06:48:14.097    -30:44:19.720
    CA0715-663        07:15:12.990    -66:27:52.019
    CA0718-633        07:19:07.363    -63:26:59.100

    CA0202-337        02:04:28.663    -33:28:50.139
    CA0220-349        02:22:56.387    -34:41:28.80
    CA0226-559        02:28:21.597    -55:46:03.020
    CA0233-478        02:35:06.428    -47:37:10.060
    CA0241-513        02:43:13.788    -51:05:18.250
    CA0254-334        02:56:42.599    -33:15:21.040
    CA0257-510        02:58:38.749    -50:52:04.370
    CA0301-721        03:01:38.442    -71:56:34.380
    CA0302-623        03:03:50.632    -62:11:25.55
    CA0308-611        03:09:56.083    -60:58:39.13

