!Name x(m) y(m) z(m) dx/dt(m/yr) dy/dt(m/yr) dz/dt(m/yr) pos_epoch axis_type offset(m)
CATW104 -4751639.828 2791700.352 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW106 -4751624.291 2791726.728 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW109 -4751600.986 2791766.292 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW110 -4751593.217 2791779.481 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW111 -4751585.449 2791792.669 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW112 -4751577.68 2791805.857 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW113 -4751569.912 2791819.045 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW124 -4751484.459 2791964.115 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW125 -4751476.69 2791977.303 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW128 -4751453.385 2792016.868 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW129 -4751445.616 2792030.056 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW140 -4751360.163 2792175.126 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW147 -4751305.783 2792267.443 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW148 -4751298.015 2792280.631 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW163 -4751181.488 2792478.454 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW168 -4751142.645 2792544.395 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW172 -4751111.572 2792597.148 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW173 -4751103.803 2792610.336 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW182 -4751033.887 2792729.029 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW189 -4750979.507 2792821.347 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW190 -4750971.739 2792834.535 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW195 -4750932.896 2792900.476 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW196 -4750925.128 2792913.664 -3200491.171 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATW392 -4749402.489 2795498.532 -3200491.118 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATN2 -4751637.582 2791734.557 -3200464.729 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATN5 -4751657.517 2791746.3 -3200425.066 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATN7 -4751670.808 2791754.129 -3200398.624 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATN11 -4751697.389 2791769.786 -3200345.74 -0.03394 0.0047 0.04623 1997.0 3 0.0
CATN14 -4751717.325 2791781.529 -3200306.077 -0.03394 0.0047 0.04623 1997.0 3 0.0
